p.geomean	stat.mean	p.val	q.val	set.size	nacl_1	nacl_2	nacl_3	Direction
Photosynthesis - antenna proteins	4.02774435877507e-12	0.831337904261682	1.17577502896412e-32	7.52496018537036e-31	19	3.39654956901477e-12	4.07709981585176e-12	4.74054733224951e-12	Downregulated
Cysteine and methionine metabolism	2.83806667500583e-12	0.43743667153489	3.22200887462332e-32	1.03104283987946e-30	68	9.51308236114658e-09	1.17759046944224e-13	5.96974823819989e-14	Downregulated
Starch and sucrose metabolism	2.02061524396989e-09	0.363037758494341	1.37615902961378e-24	8.80741778952821e-23	76	3.7439736184372e-10	2.17260879849344e-09	1.16341636779182e-08	Upregulated
Photosynthesis	8.61448709600069e-08	0.331265193667036	9.21573705396623e-20	1.96602390484613e-18	74	7.77152964167274e-07	1.98810783208022e-08	4.88594118728152e-08	Downregulated
Oxidative phosphorylation...5	8.82329603834202e-08	0.31514596065184	6.92947119703668e-19	1.10871539152587e-17	85	0.000154939682910583	1.77684406946756e-09	5.05379409969938e-09	Downregulated
Porphyrin metabolism	4.52961344002793e-07	0.345399902093944	1.23601741893339e-17	1.58210229623475e-16	61	2.17617228712834e-06	1.35520054823352e-07	4.05637328638539e-07	Downregulated
One carbon pool by folate	7.68504346951415e-07	0.497658214266885	8.85229665458857e-17	9.44244976489447e-16	28	1.07168337003476e-05	3.00126865331899e-07	2.50648033422622e-07	Downregulated
Glycine, serine and threonine metabolism	9.66356600747492e-07	0.354564948456854	8.23395280666661e-16	7.52818542323804e-15	57	0.000595263534747991	1.86816401257384e-07	2.2070497140645e-08	Downregulated
Glycolysis / Gluconeogenesis...9	2.90725457624102e-06	0.283731377623621	4.4397562647491e-15	1.42072200471971e-13	78	5.34152582648399e-08	3.38130464139779e-05	1.80012453305012e-05	Upregulated
Fructose and mannose metabolism	4.01028316949477e-06	0.420404060265686	6.74078943662352e-15	1.43803507981302e-13	35	5.54695383364884e-07	1.61921014033842e-05	8.10219434360966e-06	Upregulated
Glyoxylate and dicarboxylate metabolism...11	3.22272486640562e-06	0.354325385740774	1.2684912545126e-14	1.01479300361008e-13	53	0.000298448815348997	1.73663248959783e-07	1.51027824522613e-06	Downregulated
Pyrimidine metabolism	1.54653969597621e-05	0.336795694056291	9.97783207011403e-13	6.71150960917436e-12	48	0.000930175216838597	4.2135661152448e-07	1.67881416069783e-05	Downregulated
Purine metabolism...13	1.85840079831627e-05	0.182488216462671	1.04867337643349e-12	6.71150960917436e-12	161	6.15813912093196e-07	0.000767842347255208	1.63167468711752e-05	Downregulated
Pentose phosphate pathway...14	3.87467718913221e-05	0.363390522109962	6.02404307161395e-12	9.63846891458231e-11	38	1.48268863780731e-06	0.000237219683610501	0.000175328738570555	Upregulated
Fatty acid biosynthesis	8.68945008100613e-05	0.349462214935852	5.23528756639672e-11	3.04598549317627e-10	38	3.53489301721979e-05	0.000474464204633694	4.61729617246765e-05	Downregulated
Drug metabolism - other enzymes	7.61579078255762e-05	0.343204626769981	7.48056906022455e-11	3.98963683211976e-10	39	0.000392883885809125	7.89125535871784e-06	0.000313235887326249	Downregulated
Citrate cycle (TCA cycle)...17	6.70011442604133e-05	0.379495656602277	1.07996050683875e-10	5.3167286490523e-10	37	0.00325534562714397	5.80770392849222e-06	4.96872527777753e-05	Downregulated
Phenylalanine, tyrosine and tryptophan biosynthesis	7.17108198697597e-05	0.42762697047101	2.44104431475546e-10	1.11590597245964e-09	26	0.00479661726728175	0.000292241895067406	1.02000902830469e-06	Downregulated
Other types of O-glycan biosynthesis	0.000154974943369281	0.538722363945578	2.63631974460267e-10	1.12482975769714e-09	15	3.8256095114759e-05	0.000143017757583076	0.000750046372769412	Downregulated
Pyruvate metabolism...20	0.000151462263179668	0.240452190891109	5.43219037963422e-10	6.9532036859318e-09	76	7.04347710973083e-06	0.00137586261533588	0.000636112660477359	Upregulated
Thiamine metabolism	0.000246594361461998	0.349958438427744	1.71885480003773e-09	6.87541920015092e-09	33	0.00148589915490196	0.000180577582207464	0.000108891235057193	Downregulated
Nitrogen metabolism	0.000362412201658591	0.351400617188107	2.66741873994338e-09	1.00420470209633e-08	32	0.000161721140752287	0.0004646099814748	0.000682353997133401	Downregulated
Glycerophospholipid metabolism...23	0.000348889241472791	0.265805401646021	2.70128885915102e-09	2.88137478309442e-08	56	0.000113858845841123	0.000428841651377774	0.00101542927102133	Upregulated
Biotin metabolism	0.000362501207228246	0.443805344392996	2.83497040873971e-09	1.00798947866301e-08	20	0.000243652600520412	0.000433322311660013	0.000531922459322441	Downregulated
Glycerolipid metabolism	0.000409136575882118	0.300588273914064	3.96742510925673e-09	3.62736009989186e-08	43	0.000140552784755712	0.000392755582417347	0.00133366775335682	Upregulated
Lipoic acid metabolism	0.000239783327230076	0.370916830058005	4.55945516140978e-09	1.53581647542224e-08	32	0.0257360890857627	2.93819125539351e-05	3.33539960635419e-05	Downregulated
Sulfur metabolism	0.000371606518828773	0.374397775442931	7.84784994637252e-09	2.51131198283921e-08	27	0.0200974767620822	0.000113202909472212	2.52474367932443e-05	Downregulated
Methane metabolism...28	0.000396841148386509	0.339251377058222	1.12450201121899e-08	8.99601608975193e-08	41	3.57930097064598e-06	0.0024638926249887	0.00855312177886109	Upregulated
Carbon fixation by Calvin cycle...29	0.00028162688513611	0.281532813416474	1.51043551408491e-08	1.07408747668261e-07	59	3.21875561412448e-07	0.0305941796922727	0.00301442457413258	Upregulated
Folate biosynthesis	0.00140878925347667	0.294062137627177	2.05531243992362e-07	5.99910648142499e-07	37	0.00440044884210396	0.000303114990938554	0.00324255517460427	Downregulated
N-Glycan biosynthesis	0.00128353345854182	0.326886881619401	2.06219285298984e-07	5.99910648142499e-07	30	0.0054144016349903	0.000165332073675407	0.0042516436413937	Downregulated
Alanine, aspartate and glutamate metabolism...32	0.00123918890605606	0.322258001785958	2.36171433655448e-07	6.5717268495429e-07	36	0.0165584191078786	0.000124634260200782	0.00168911387876772	Downregulated
Selenocompound metabolism	0.00229929186509971	0.407016974299406	6.74656571046413e-07	1.7990841894571e-06	18	0.00855645878082229	0.00388620996363925	0.000443995567863813	Downregulated
Arginine biosynthesis...34	0.00246870331154183	0.333519557925324	9.50414538067795e-07	2.43306121745356e-06	27	0.0205127132982273	0.00112952948203816	0.000805776379572671	Downregulated
Terpenoid backbone biosynthesis	0.00240447996808506	0.328213924627154	1.07883791979824e-06	2.65560103334951e-06	27	0.0170368680439942	0.000269328510821988	0.00431194136471177	Downregulated
Fatty acid degradation	0.00276080599133122	0.340221063248335	1.50896600752772e-06	9.65738244817743e-06	25	0.00102315706859657	0.000558697177110349	0.0404592059276559	Upregulated
Methane metabolism...37	0.002643582109522	0.339251377058222	1.77332651929734e-06	4.20344063833443e-06	41	0.0521700261945059	0.00242761820320643	0.000165535042815014	Downregulated
